Index Name,Date,Open,High,Low,Close,open-close,low-high,is_quarter_end,SMA_10,SMA_50,target
NIFTY 50,1996-06-11,1137.74,1145.68,1136.77,1143.06,-5.319999999999936,-8.910000000000082,1,1114.484,1090.6478,1
NIFTY 50,1996-06-12,1164.83,1171.01,1163.58,1163.87,0.9600000000000364,-7.430000000000064,1,1121.1950000000002,1093.8596,1
NIFTY 50,1996-06-13,1166.37,1172.34,1164.66,1168.4,-2.0300000000002,-7.679999999999836,1,1129.751,1096.9582,1
NIFTY 50,1996-06-14,1169.26,1198.35,1169.26,1196.06,-26.799999999999955,-29.089999999999918,1,1140.365,1100.6606,0
NIFTY 50,1996-06-17,1202.58,1203.11,1184.36,1185.37,17.210000000000036,-18.75,1,1148.0149999999999,1103.7254,0
NIFTY 50,1996-06-18,1176.48,1184.18,1173.66,1181.95,-5.470000000000027,-10.519999999999982,1,1155.646,1106.7830000000001,0
NIFTY 50,1996-06-19,1180.78,1190.03,1163.46,1168.03,12.75,-26.569999999999936,1,1161.135,1109.558,1
NIFTY 50,1996-06-20,1163.68,1170.54,1150.4,1169.48,-5.7999999999999545,-20.139999999999873,1,1165.1009999999999,1112.4440000000002,0
NIFTY 50,1996-06-21,1168.72,1170.01,1155.56,1157.42,11.299999999999955,-14.450000000000045,1,1167.499,1114.9486,0
NIFTY 50,1996-06-24,1157.92,1159.92,1138.88,1146.78,11.1400000000001,-21.039999999999964,1,1168.042,1116.9552,0
NIFTY 50,1996-06-25,1147.28,1154.22,1123.79,1127.78,19.5,-30.430000000000064,1,1166.5140000000001,1118.3366,0
NIFTY 50,1996-06-26,1127.43,1134.43,1116.96,1119.85,7.580000000000155,-17.470000000000027,1,1162.1119999999999,1118.808,1
NIFTY 50,1996-06-27,1119.0,1130.0,1107.0,1127.0,-8.0,-23.0,1,1157.972,1118.9144,0
NIFTY 50,1996-06-28,1128.0,1136.0,1119.0,1122.0,6.0,-17.0,1,1150.566,1118.7196,0
NIFTY 50,1996-07-01,1121.0,1121.0,1105.0,1109.0,12.0,-16.0,0,1142.9289999999999,1118.761,0
NIFTY 50,1996-07-02,1109.0,1111.0,1098.0,1100.0,9.0,-13.0,0,1134.734,1118.8446,0
NIFTY 50,1996-07-03,1100.0,1100.0,1076.0,1080.0,20.0,-24.0,0,1125.931,1117.5423999999998,1
NIFTY 50,1996-07-04,1080.0,1099.0,1056.0,1088.0,-8.0,-43.0,0,1117.783,1116.886,1
NIFTY 50,1996-07-05,1089.0,1104.0,1088.0,1093.0,-4.0,-16.0,0,1111.341,1116.2734,1
NIFTY 50,1996-07-08,1095.08,1106.36,1095.08,1103.47,-8.3900000000001,-11.279999999999973,0,1107.01,1115.9754,0
